Time [ns]	X (Q6.10)	X (Decimal)	Y (Q6.10)	Y (Decimal)
85115	 2641	2.579102	 4888	4.773438
85345	 2394	2.337891	 5015	4.897461
85575	 2141	2.090820	 5123	5.002930
85805	 1883	1.838867	 5213	5.090820
86035	 1621	1.583008	 5284	5.160156
86265	 1356	1.324219	 5337	5.211914
86495	 1089	1.063477	 5372	5.246094
86725	  820	0.800781	 5389	5.262695
86955	  551	0.538086	 5388	5.261719
87185	  282	0.275391	 5369	5.243164
87415	   15	0.014648	 5333	5.208008
87645	65286	-0.244141	 5280	5.156250
87875	65024	-0.500000	 5210	5.087891
88105	64766	-0.751953	 5123	5.002930
88335	64513	-0.999023	 5020	4.902344
88565	64265	-1.241211	 4901	4.786133
88795	64024	-1.476562	 4768	4.656250
89025	63790	-1.705078	 4622	4.513672
89255	63563	-1.926758	 4464	4.359375
89485	63344	-2.140625	 4297	4.196289
89715	63134	-2.345703	 4123	4.026367
89945	62933	-2.541992	 3944	3.851562
90175	62741	-2.729492	 3762	3.673828
90405	62558	-2.908203	 3578	3.494141
90635	62384	-3.078125	 3393	3.313477
90865	62219	-3.239258	 3207	3.131836
91095	62063	-3.391602	 3020	2.949219
91325	61917	-3.534180	 2830	2.763672
91555	61780	-3.667969	 2636	2.574219
91785	61653	-3.791992	 2436	2.378906
92015	61536	-3.906250	 2229	2.176758
92245	61430	-4.009766	 2012	1.964844
92475	61335	-4.102539	 1786	1.744141
92705	61251	-4.184570	 1550	1.513672
92935	61179	-4.254883	 1305	1.274414
93165	61120	-4.312500	 1054	1.029297
93395	61073	-4.358398	  799	0.780273
93625	61039	-4.391602	  545	0.532227
93855	61018	-4.412109	  294	0.287109
94085	61009	-4.420898	   49	0.047852
94315	61012	-4.417969	65347	-0.184570
94545	61027	-4.403320	65115	-0.411133
94775	61053	-4.377930	64889	-0.631836
95005	61090	-4.341797	64667	-0.848633
95235	61138	-4.294922	64447	-1.063477
95465	61197	-4.237305	64227	-1.278320
95695	61267	-4.168945	64005	-1.495117
95925	61348	-4.089844	63781	-1.713867
96155	61440	-4.000000	63556	-1.933594
96385	61544	-3.898438	63331	-2.153320
96615	61659	-3.786133	63108	-2.371094
96845	61785	-3.663086	62890	-2.583984
97075	61922	-3.529297	62680	-2.789062
97305	62069	-3.385742	62481	-2.983398
97535	62225	-3.233398	62295	-3.165039
97765	62390	-3.072266	62123	-3.333008
97995	62564	-2.902344	61966	-3.486328
98225	62745	-2.725586	61824	-3.625000
98455	62933	-2.541992	61696	-3.750000
98685	63127	-2.352539	61582	-3.861328
98915	63326	-2.158203	61481	-3.959961
99145	63530	-1.958984	61392	-4.046875
99375	63738	-1.755859	61315	-4.122070
99605	63950	-1.548828	61249	-4.186523
99835	64165	-1.338867	61193	-4.241211
100065	64382	-1.126953	61146	-4.287109
100295	64601	-0.913086	61109	-4.323242
100525	64822	-0.697266	61081	-4.350586
100755	65044	-0.480469	61062	-4.369141
100985	65267	-0.262695	61052	-4.378906
101215	65490	-0.044922	61051	-4.379883
101445	  177	0.172852	61059	-4.372070
101675	  399	0.389648	61076	-4.355469
101905	  620	0.605469	61102	-4.330078
102135	  840	0.820312	61138	-4.294922
102365	 1057	1.032227	61185	-4.249023
102595	 1272	1.242188	61242	-4.193359
102825	 1484	1.449219	61310	-4.126953
103055	 1692	1.652344	61390	-4.048828
103285	 1896	1.851562	61482	-3.958984
103515	 2095	2.045898	61587	-3.856445
103745	 2288	2.234375	61705	-3.741211
103975	 2475	2.416992	61837	-3.612305
104205	 2655	2.592773	61983	-3.469727
104435	 2828	2.761719	62143	-3.313477
104665	 2992	2.921875	62317	-3.143555
104895	 3147	3.073242	62503	-2.961914
105125	 3293	3.215820	62699	-2.770508
105355	 3429	3.348633	62903	-2.571289
105585	 3555	3.471680	63112	-2.367188
105815	 3670	3.583984	63323	-2.161133
106045	 3774	3.685547	63534	-1.955078
106275	 3868	3.777344	63743	-1.750977
106505	 3952	3.859375	63949	-1.549805
106735	 4025	3.930664	64152	-1.351562
106965	 4088	3.992188	64354	-1.154297
107195	 4141	4.043945	64555	-0.958008
107425	 4184	4.085938	64757	-0.760742
107655	 4217	4.118164	64963	-0.559570
107885	 4240	4.140625	65173	-0.354492
108115	 4252	4.152344	65389	-0.143555
108345	 4253	4.153320	   75	0.073242
108575	 4243	4.143555	  303	0.295898
108805	 4222	4.123047	  534	0.521484
